station_code,sensor_type,name_thai,name_english,district,lat,lon,confidence,basis
FL.BKN.02,flood,ถ.บรมราชชนนี ช่วงสายใต้,,Bangkok Noi,13.7634,100.4728,High,"District identified from rain-network station name 'สำนักงานเขตบางกอกน้อย' sharing prefix BKN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKP.01,flood,ถ.ลาดพร้าว แม็คโคร,,Bang Kapi,13.771,100.6475,High,"District identified from rain-network station name 'สำนักงานเขตบางกะปิ' sharing prefix BKP; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKP.02,flood,ถ.ศรีนครินทร์ หน้าบริษัทกรีนสปอร์ต,,Bang Kapi,13.771,100.6475,High,"District identified from rain-network station name 'สำนักงานเขตบางกะปิ' sharing prefix BKP; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BKT.01,flood,ถ.บางขุนเทียน ชายทะเล ช่วงถ.พระรามที่ 2,,Bang Khun Thian,13.58,100.4145,High,"District identified from rain-network station name 'สำนักงานเขตบางขุนเทียน' sharing prefix BKT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BNA.01,flood,ถ.สุขุมวิท ช่วงกรมอุตุนิยมวิทยา,,Bang Na,13.672,100.616,High,"District identified from rain-network station name 'สำนักงานเขตบางนา' sharing prefix BNA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BNA.02,flood,ถ.ศรีนครินทร์ ช่วงวัดศรีเอี่ยม,,Bang Na,13.672,100.616,High,"District identified from rain-network station name 'สำนักงานเขตบางนา' sharing prefix BNA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BNA.03,flood,ถ.สุขุมวิท ช่วงแยกบางนา,,Bang Na,13.672,100.616,High,"District identified from rain-network station name 'สำนักงานเขตบางนา' sharing prefix BNA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BNA.04,flood,ถ.สุขุมวิท ช่วงแบริ่ง,,Bang Na,13.672,100.616,High,"District identified from rain-network station name 'สำนักงานเขตบางนา' sharing prefix BNA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BNA.05,flood,ถ.อุดมสุข ช่วงซอยอุดมสุข 1,,Bang Na,13.672,100.616,High,"District identified from rain-network station name 'สำนักงานเขตบางนา' sharing prefix BNA; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BRK.01,flood,ถ.สุรวงศ์ ช่วงทางด่วน,,Bang Rak,13.728,100.5232,High,"District identified from rain-network station name 'สำนักงานเขตบางรัก' sharing prefix BRK; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BRK.02,flood,ถ.สีลม ช่วงถนนคอนแวนต์,,Bang Rak,13.728,100.5232,High,"District identified from rain-network station name 'สำนักงานเขตบางรัก' sharing prefix BRK; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.BSU.01,flood,ถ.ประชาราษฏร์ แยกเตาปูน,,Bang Sue,13.82,100.529,High,"District identified from rain-network station name 'สำนักงานเขตบางซื่อ' sharing prefix BSU; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.01,flood,ถ.รัชดาภิเษก ช่วงแยกลาดพร้าว (หน้าธนาคารกรุงเทพ),,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.02,flood,ถ.กำแพงเพชร 3,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.03,flood,ถ.พหลโยธิน ช่วงแยกเกษตร,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.04,flood,ถ.เทศบาลสงเคราะห์ ช่วงตลาดประชานิเวศน์,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.05,flood,ถ.พหลโยธิน หน้ากรมการขนส่งทางบก,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.06,flood,ถ.งามวงศ์วาน ช่วงแยกเกษตร,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.CTC.07,flood,ซ.เสนานิคม,,Chatuchak,13.826,100.565,Medium,"Station roads (Ratchadaphisek/Lat Phrao, Kamphaeng Phet 3, Kaset intersection, Sena Nikhom) are all in Chatuchak; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.01,flood,ถ.รัชดาภิเษก ช่วงแยกเทียมร่วมมิตร,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.02,flood,ถ.ประชาสงเคราะห์ ตลาดห้วยขวาง,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.03,flood,ถ.ดินแดง ซอยสุทธิพร 2,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.04,flood,ถ.รัชดาภิเษก ช่วงคลองบางซื่อ,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.05,flood,ถ.รัชดาภิเษก สถานฑูตจีน,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.06,flood,ถ.ประชาสุข ซ.อินทามระ 53,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.07,flood,ถ.วิภาวดี(ขาออก) ช่วงกรมทหารราบที่ 1,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DDG.08,flood,ถ.ดินแดง ช่วงโรงเรียนพิบูลประชาสรรค์,,Din Daeng,13.778,100.567,Medium,"Station roads (Din Daeng Rd, Pracha Songkhro, Ratchadaphisek) are in Din Daeng; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.01,flood,ถ.พิษณุโลก ช่วงบ้านพิษณุโลก,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.02,flood,ถ.สามเสน ช่วงแยกเกียกกาย,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.03,flood,ถ.ศรีอยุธยา ลานพระราชวังดุสิต,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.04,flood,ถ.ราชสีมา แยกอู่ทองนอก,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.05,flood,ถ.นครไชยศรี (กรมสรรพสามิต),,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.06,flood,ถ.ราชวิถี เชิงสะพานกรุงธนบุรี,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.07,flood,ถ.นครไชยศรี ช่วงตลาดศรีย่าน,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.DST.08,flood,ถ.ราชวิถี หน้ามหาวิทยาลัยสวนดุสิต,,Dusit,13.7728,100.5154,High,"District identified from rain-network station name 'สำนักงานเขตดุสิต' sharing prefix DST; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.HKG.01,flood,ถ.เพชรบุรีตัดใหม่ ช่วงสิงห์คอมเพล็กซ์,,Huai Khwang,13.77233,100.58067,High,"District identified from rain-network station name 'สำนักงานเขตห้วยขวาง' sharing prefix HKG; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.JTG.01,flood,ถ.จอมทอง ช่วงแยกจอมทอง,,Chom Thong,13.69025,100.4655,High,"District identified from rain-network station name 'สำนักงานเขตจอมทอง' sharing prefix JTG; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KSN.01,flood,ถ.ลาดหญ้า วงเวียนใหญ่,,Khlong San,13.7265,100.5025,High,"District identified from rain-network station name 'สำนักงานเขตคลองสาน' sharing prefix KSN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KTY.01,flood,ถ.พระรามที่ 3 ช่วงตลาดฮ่องกง-ปีนัง,,Khlong Toei,13.71333,100.57867,High,"District identified from rain-network station name 'สำนักงานเขตคลองเตย' sharing prefix KTY; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KTY.02,flood,ซ.สุขุมวิท 22 (ด้านถนนพระรามที่ 4),,Khlong Toei,13.71333,100.57867,High,"District identified from rain-network station name 'สำนักงานเขตคลองเตย' sharing prefix KTY; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KTY.03,flood,ถ.พระราม 3 ช่วงทางรถไฟ,,Khlong Toei,13.71333,100.57867,High,"District identified from rain-network station name 'สำนักงานเขตคลองเตย' sharing prefix KTY; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KTY.04,flood,ถ.พระราม 4 ช่วงกล้วยน้ำไท,,Khlong Toei,13.71333,100.57867,High,"District identified from rain-network station name 'สำนักงานเขตคลองเตย' sharing prefix KTY; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.KTY.05,flood,ถ.สุนทรโกษา แยก ณ ระนอง,,Khlong Toei,13.71333,100.57867,High,"District identified from rain-network station name 'สำนักงานเขตคลองเตย' sharing prefix KTY; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.01,flood,ซ.แจ้งวัฒนะ 14,,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.02,flood,ถ.งามวงศ์วาน แยกพงษ์เพชร,,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.03,flood,ถ.แจ้งวัฒนะ หน้าศาลปกครองกลาง,,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.04,flood,ถ.แจ้งวัฒนะขาเข้า (โลตัส),,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.05,flood,ถ.แจ้งวัฒนะขาออก (มทบ. 11),,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.LSI.06,flood,ถ.งามวงศ์วาน ซอยชินเขต,,Lak Si,13.877,100.572,High,"District identified from rain-network station name 'สำนักงานเขตหลักสี่' sharing prefix LSI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.MBR.01,flood,ถ.สุวินทวงศ์ ช่วงแยกไปรษณีย์มีนบุรี,,Min Buri,13.808,100.7485,High,"District identified from rain-network station name 'สำนักงานเขตมีนบุรี' sharing prefix MBR; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PKN.01,flood,ถ.สุขุมวิท ช่วงซอยสุขุมวิท 62,,Phra Khanong,13.692,100.626,High,"District identified from rain-network station name 'สำนักงานเขตพระโขนง' sharing prefix PKN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PNK.02,flood,ถ.วิสุทธิ์กษัตริย์  หน้าวัดอินทรวิหาร,,Phra Nakhon,13.75642,100.49925,High,"District identified from rain-network station name 'สำนักงานเขตพระนคร' sharing prefix PNK; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PPS.01,flood,ถ.หลานหลวง หน้าธนาคารกรุงไทย,,Pom Prap Sattru Phai,13.7512,100.5114,High,"District identified from rain-network station name 'สำนักงานเขตป้อมปราบศัตรูพ่าย' sharing prefix PPS; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PPS.02,flood,ถ.หลวง ช่วงวัดเทพศิรินทราวาส,,Pom Prap Sattru Phai,13.7512,100.5114,High,"District identified from rain-network station name 'สำนักงานเขตป้อมปราบศัตรูพ่าย' sharing prefix PPS; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PTW.01,flood,ถ.พระรามที่ 1 ช่วงสนามกีฬาแห่งชาติ,,Pathum Wan,13.7405,100.53175,High,"District identified from rain-network station name 'สำนักงานเขตปทุมวัน' sharing prefix PTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PTW.02,flood,ถ.พญาไท ช่วงมาบุญครอง,,Pathum Wan,13.7405,100.53175,High,"District identified from rain-network station name 'สำนักงานเขตปทุมวัน' sharing prefix PTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PTW.03,flood,ถ.พระรามที่ 1 ช่วงวัดปทุมวนาราม,,Pathum Wan,13.7405,100.53175,High,"District identified from rain-network station name 'สำนักงานเขตปทุมวัน' sharing prefix PTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PTW.04,flood,ถ.พระรามที่ 4 หน้าวัน แบงค็อก,,Pathum Wan,13.7405,100.53175,High,"District identified from rain-network station name 'สำนักงานเขตปทุมวัน' sharing prefix PTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PTW.05,flood,ถ.ราชดำริ หน้าโรงพยาบาลตำรวจ,,Pathum Wan,13.7405,100.53175,High,"District identified from rain-network station name 'สำนักงานเขตปทุมวัน' sharing prefix PTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PWT.01,flood,ถ.ศรีนครินทร์ ช่วงซีคอนสแควร์,,Prawet,13.69533,100.66967,High,"District identified from rain-network station name 'สำนักงานเขตประเวศ' sharing prefix PWT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PWT.02,flood,ถ.เฉลิมพระเกียรติ ร.9 ช่วงแยกศรีอุดม,,Prawet,13.69533,100.66967,High,"District identified from rain-network station name 'สำนักงานเขตประเวศ' sharing prefix PWT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.01,flood,ถ.พหลโยธิน ช่วงหน้าสนามเป้า,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.02,flood,ถ.พหลโยธิน ช่วงสะพานควาย,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.03,flood,ถ.พระราม6 ช่วงทางด่วน,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.04,flood,ถ.สุทธิสารวินิจฉัย ซอย 19,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.05,flood,ถ.พหลโยธิน ช่วงซอยสายลม,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.06,flood,ถ.ประดิพัทธ์ ช่วงสะพานควาย,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.PYT.07,flood,ถ.พหลโยธิน  ช่วงห้างบิ๊กซีสะพานควาย,,Phaya Thai,13.782,100.545,High,"District identified from rain-network station name 'สำนักงานเขตพญาไท' sharing prefix PYT; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.01,flood,ถ.ศรีอยุธยา ช่วงถนนพญาไท,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.02,flood,ถ.เพชรบุรี ช่วงหน้าดอนบอสโก,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.03,flood,ถ.เพชรบุรี ช่วงหน้าเมโทร,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.04,flood,ถ.พญาไท ช่วงกรมปศุสัตว์,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.05,flood,ถ.พระรามที่ 6 ช่วงตลาดประแจจีน,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.06,flood,ถ.ราชวิถี ช่วงสวนสันติภาพ,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.07,flood,ถ.ศรีอยุธยา ช่วงโรงเรียนสันติราษฏร์วิทยาลัย,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.08,flood,ถ.นิคมมักกะสัน แยกราชปรารภ,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.09,flood,ถ.บรรทัดทอง ช่วงถนนเพชรบุรี,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.10,flood,ถ.ศรีอยุธยา ช่วงโรงเรียนศรีอยุธยา,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.11,flood,ถ.พระรามที่ 6 ช่วงพิพิธภัณฑ์กรมทางหลวง,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.RTW.12,flood,ถ.พระรามที่ 6 ช่วงกองการพัสดุ กรมทางหลวง,,Ratchathewi,13.756,100.53875,High,"District identified from rain-network station name 'สำนักงานเขตราชเทวี' sharing prefix RTW; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SLG.01,flood,ถ.พัฒนาการ แยกศรีนครินทร์,,Suan Luang,13.726,100.628,High,"District identified from rain-network station name 'สำนักงานเขตสวนหลวง' sharing prefix SLG; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SLG.02,flood,ถ.รามคำแหง ซอย 3,,Suan Luang,13.726,100.628,High,"District identified from rain-network station name 'สำนักงานเขตสวนหลวง' sharing prefix SLG; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SLG.03,flood,ถ.พัฒนาการ ช่วงธนาคารกรุงไทย ,,Suan Luang,13.726,100.628,High,"District identified from rain-network station name 'สำนักงานเขตสวนหลวง' sharing prefix SLG; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SMI.01,flood,ถ.พหลโยธิน ช่วงซอยพหลโยธิน 60/1,,Sai Mai,13.905,100.652,High,"District identified from rain-network station name 'สำนักงานเขตสายไหม' sharing prefix SMI; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SPW.01,flood,ถ.เจริญกรุง แยกแปลงนาม,,Samphanthawong,13.738,100.50933,Medium,"Yaowarat / Charoen Krung stations = Samphanthawong (Chinatown); coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.SPW.02,flood,ถ.เยาวราช ช่วงแยกราชวงศ์,,Samphanthawong,13.738,100.50933,Medium,"Yaowarat / Charoen Krung stations = Samphanthawong (Chinatown); coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.STN.01,flood,ถ.จันทน์ ซอย 28/2,,Sathon,13.714,100.529,High,"District identified from rain-network station name 'สำนักงานเขตสาทร' sharing prefix STN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.STN.02,flood,ถ.เซนต์หลุยส์ 3,,Sathon,13.714,100.529,High,"District identified from rain-network station name 'สำนักงานเขตสาทร' sharing prefix STN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.STN.03,flood,ถ.สาธุประดิษฐ์ ซอย 2,,Sathon,13.714,100.529,High,"District identified from rain-network station name 'สำนักงานเขตสาทร' sharing prefix STN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.STN.04,flood,ถ.สวนพลู ช่วงตลาดสวนพลู,,Sathon,13.714,100.529,High,"District identified from rain-network station name 'สำนักงานเขตสาทร' sharing prefix STN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTL.01,flood,ถ.ลาดพร้าว ช่วงตัดถนนประดิษฐ์มนูธรรม,,Wang Thonglang,13.779,100.609,High,"District identified from rain-network station name 'สำนักงานเขตวังทองหลาง' sharing prefix WTL; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTL.02,flood,ถ.ลาดพร้าว ช่วงซอยลาดพร้าว 89,,Wang Thonglang,13.779,100.609,High,"District identified from rain-network station name 'สำนักงานเขตวังทองหลาง' sharing prefix WTL; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTL.03,flood,ซ.รามคำแหง 43/1,,Wang Thonglang,13.779,100.609,High,"District identified from rain-network station name 'สำนักงานเขตวังทองหลาง' sharing prefix WTL; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTL.04,flood,ซ.รามคำแหง 65 (ซอยมหาดไทย),,Wang Thonglang,13.779,100.609,High,"District identified from rain-network station name 'สำนักงานเขตวังทองหลาง' sharing prefix WTL; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTN.01,flood,ซ.สุขุมวิท 39 (ซอยพร้อมพงษ์),,Watthana,13.73267,100.57733,High,"District identified from rain-network station name 'สำนักงานเขตวัฒนา' sharing prefix WTN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
FL.WTN.02,flood,ถ.อโศกมนตรี ช่วงแยกชิโนไทย,,Watthana,13.73267,100.57733,High,"District identified from rain-network station name 'สำนักงานเขตวัฒนา' sharing prefix WTN; coordinates = district centroid (mean of subdistrict coords, data.go.th)"
